title,field_address_address_line1,field_address_locality,field_address_administrative_area,field_address_postal_code,field_address_country_code,field_venue_type,field_short_description,field_phone,field_website_uri,field_website_title,field_cuisine,field_claimed_listing,field_image,image_search_hint,field_latitude,field_longitude,field_tags,field_address_line1,field_city,field_state,field_zip,field_country,field_description,field_website,field_source,field_menu_url,field_cta,field_cta_title
Caribbean Jack’s,721 Ballough Rd,Daytona Beach,FL,32114,US,Restaurant|Bar,Waterfront tiki-style restaurant with live music and tropical drinks.,(386) 523-3000,https://caribbeanjacks.com,Official website,Seafood|Caribbean,0.0,,Caribbean Jack's Daytona Beach marina; Caribbean Jack's tiki bar food,29.201214,-81.029019,"Seafood, Waterfront, Caribbean, Casual",721 Ballough Rd,Daytona Beach,FL,32114,US,,,,,,
Chart House,1100 Marina Point Dr,Daytona Beach,FL,32114,US,Restaurant,Upscale waterfront dining with seafood and steak.,(386) 255-9022,https://www.chart-house.com,Official website,Seafood|Steakhouse,0.0,,Chart House Daytona Beach sunset marina; Chart House steak seafood,29.220643,-81.012973,"Seafood, Waterfront, Steak, Steakhouse",1100 Marina Point Dr,Daytona Beach,FL,32114,US,,,,,,
Oyster Pub,555 Seabreeze Blvd,Daytona Beach,FL,32118,US,Bar|Restaurant,Classic sports bar known for wings and oysters.,(386) 253-8888,https://oysterpub.com,Official website,Pub|Seafood,0.0,,Oyster Pub Daytona wings oysters bar; Oyster Pub sports bar,29.219163,-81.020999,"Seafood, Casual, Drinks, Pub",555 Seabreeze Blvd,Daytona Beach,FL,32118,US,,,,,,
Racing’s North Turn,4511 S Atlantic Ave,Ponce Inlet,FL,32127,US,Restaurant,Historic beachfront restaurant with racing heritage.,(386) 322-3258,https://www.racingnorthturn.com,Official website,American|Seafood,0.0,,Racing North Turn Daytona beach restaurant; North Turn oceanfront,29.1090779,-80.9438014,bar food|burgers|grill|happy hour|wings,4511 S Atlantic Ave,Ponce Inlet,FL,32127,US,,,,,,
Peach Valley Café,185 E Granada Blvd,Ormond Beach,FL,32176,US,Cafe,Popular brunch café known for pancakes and breakfast.,(386) 615-0096,https://www.peachvalleycafe.com,Official website,Breakfast|American|Brunch,0.0,,Peach Valley Cafe pancakes brunch; Peach Valley breakfast,29.2920924,-81.0419675,bar food|burgers|grill|happy hour|wings,185 E Granada Blvd,Ormond Beach,FL,32176,US,,,,,,
Rose Villa Restaurant,43 W Granada Blvd,Ormond Beach,FL,32174,US,Restaurant,Historic house serving elevated Southern cuisine.,(386) 615-7673,https://rosevillarestaurant.com,Official website,Southern|American,0.0,,Rose Villa Ormond historic restaurant; Rose Villa cocktails,29.2854735,-81.057026,bar food|burgers|grill|happy hour|wings,43 W Granada Blvd,Ormond Beach,FL,32174,US,,,,,,
Hull’s Seafood Restaurant,111 W Granada Blvd,Ormond Beach,FL,32174,US,Restaurant,Fresh seafood spot with casual market-style dining.,(386) 673-8888,https://hullsseafood.com,Official website,Seafood,0.0,,Hull's Seafood Ormond fresh fish restaurant; Hull's seafood platters,29.2845649,-81.0590088,"Seafood, Casual, Local Favorite, Lunch",111 W Granada Blvd,Ormond Beach,FL,32174,US,,,,,,
Grind Gastropub,49 W Granada Blvd,Ormond Beach,FL,32174,US,Bar|Restaurant,Trendy gastropub with burgers and tiki cocktails.,(386) 673-0073,https://www.grindgastropub.com,Official website,American|Gastropub,0.0,,Grind Gastropub Ormond tiki cocktails; Grind burgers,29.2853281,-81.0572002,bar food|burgers|grill|happy hour|wings,49 W Granada Blvd,Ormond Beach,FL,32174,US,,,,,,
McKenna’s Place,1441 S Nova Rd,Port Orange,FL,32127,US,Bar|Restaurant,Irish pub with live music and comfort food.,(386) 760-7575,https://www.mckennasplace.com,Official website,Irish|American,0.0,,McKenna's Place Irish pub Port Orange; McKenna's bar,29.141479,-81.001589,bar food|burgers|grill|happy hour|wings,1441 S Nova Rd,Port Orange,FL,32127,US,,,,,,
La Fiesta Mexican Cocina,3781 S Nova Rd,Port Orange,FL,32129,US,Restaurant,Casual Mexican restaurant with margaritas and tacos.,(386) 761-2558,,,Mexican,0.0,,La Fiesta Mexican Cocina Port Orange tacos margaritas; La Fiesta interior,29.131988,-80.996179,burritos|enchiladas|mexican food|quesadillas|street tacos|tacos,3781 S Nova Rd,Port Orange,FL,32129,US,,,,,,
Rossi’s Side Street Cafe,3816 S Nova Rd,Port Orange,FL,32129,US,Restaurant,Cozy Italian café serving pasta and pizza.,(386) 761-0080,,,Italian,0.0,,Rossi's Side Street Cafe Italian Port Orange; Rossi pasta,29.145544,-80.999074,italian food|lasagna|pasta|pizza|spaghetti,3816 S Nova Rd,Port Orange,FL,32129,US,,,,,,
Third Wave Cafe,204 Flagler Ave,New Smyrna Beach,FL,32169,US,Cafe,Cozy café with garden seating and great coffee.,(386) 423-8470,https://thirdwavensb.com,Official website,Cafe|Brunch,0.0,,Third Wave Cafe NSB outdoor lights; Third Wave brunch coffee,29.026767,-80.918381,"Coffee, Casual, Breakfast, Local Favorite",204 Flagler Ave,New Smyrna Beach,FL,32169,US,,,,,,
Norwood’s Eatery & Treehouse Bar,400 E 2nd Ave,New Smyrna Beach,FL,32169,US,Restaurant|Bar,Iconic restaurant with treehouse bar and lush ambiance.,(386) 428-4621,https://norwoods.com,Official website,Seafood|American,0.0,,Norwoods treehouse bar NSB lights; Norwoods outdoor dining,29.020741,-80.920014,bar food|burgers|grill|happy hour|wings,400 E 2nd Ave,New Smyrna Beach,FL,32169,US,,,,,,
Breakers Oceanfront Restaurant,518 Flagler Ave,New Smyrna Beach,FL,32169,US,Restaurant,Casual oceanfront restaurant known for burgers.,(386) 428-2019,,,American,0.0,,Breakers NSB burgers oceanfront; Breakers beach restaurant,29.020265,-80.925062,bar food|burgers|grill|happy hour|wings,518 Flagler Ave,New Smyrna Beach,FL,32169,US,,,,,,
Yellow Dog Eats,147 Canal St,New Smyrna Beach,FL,32168,US,Cafe|Restaurant,Funky sandwich shop with creative menu.,(386) 410-4827,https://yellowdogeats.com,Official website,Sandwiches|American,0.0,,Yellow Dog Eats NSB sandwiches funky decor; Yellow Dog interior,29.034342,-80.924799,bar food|burgers|grill|happy hour|wings,147 Canal St,New Smyrna Beach,FL,32168,US,,,,,,
